iter	RMSE
0	1.321610003
1	1.146645205
2	1.043616375
3	0.9812239904
4	0.9327949709
5	0.9011718817
6	0.8673236167
7	0.8452253561
8	0.8357937524
9	0.8206012912
10	0.8145499948
11	0.810380657
12	0.7988743509
13	0.7872518149
14	0.7816498895
15	0.7702212956
16	0.7660886487
17	0.7631444797
18	0.7521993505
19	0.750160996
20	0.7480731336
21	0.7467782859
22	0.7370359075
23	0.7308021901
24	0.7263890401
25	0.7211388785
26	0.7186127805
27	0.7156292134
28	0.7101297746
29	0.7067474673
30	0.7032381874
31	0.7011419403
32	0.698796515
33	0.6932047079
34	0.6899319715
35	0.6876803837
36	0.6850811395
37	0.6820929088
38	0.6797257214
39	0.67843967
40	0.6776940896
41	0.6720759348
42	0.6694640376
43	0.6669634389
44	0.6623358731
45	0.6598181426
46	0.6585677949
47	0.6562876045
48	0.6550451227
49	0.6546047074
50	0.6524605058
51	0.6506366256
52	0.6497381028
53	0.6481151542
54	0.6457357221
55	0.6426869192
56	0.6379248357
57	0.6375714198
58	0.6361111062
59	0.6345117741
60	0.6342135514
61	0.6328216168
62	0.6306016532
63	0.629385479
64	0.6270150965
65	0.626527082
66	0.6225279376
67	0.6204308599
68	0.6187049421
69	0.6157159476
70	0.6142540773
71	0.6139700938
72	0.6124283513
73	0.6117889661
74	0.610743254
75	0.6100597348
76	0.6087475343
77	0.6080762668
78	0.6072578253
79	0.6065337039
80	0.6060939621
81	0.6047876465
82	0.6037504641
83	0.6035352061
84	0.6023049125
85	0.6013727665
86	0.6007325753
87	0.5978412305
88	0.5972639943
89	0.5967074191
90	0.5955447176
91	0.5935220046
92	0.5932047387
93	0.5925258648
94	0.5919023169
95	0.590066063
96	0.5897230997
97	0.5888572238
98	0.5879636182
99	0.5867819093
100	0.5861211342
101	0.585637405
102	0.5845844827
103	0.5839444877
104	0.583226955
105	0.5825909479
106	0.5816935254
107	0.5797970585
108	0.5788065345
109	0.5778672384
110	0.5771986503
111	0.5763345817
112	0.5746066319
113	0.5737290441
114	0.5728270687
115	0.5719397384
116	0.5710265547
117	0.5689971521
118	0.5683668601
119	0.5667702761
120	0.5659340671
121	0.5650221935
122	0.5635899128
123	0.5632381238
124	0.5624190095
125	0.5612313759
126	0.5608994159
127	0.5602305494
128	0.5597953627
129	0.5594816942
130	0.5591218785
131	0.5585384021
132	0.5576710333
133	0.5572634666
134	0.5559382042
135	0.5555649973
136	0.5545459991
137	0.5540522134
138	0.5523895212
139	0.5516547875
140	0.5499987887
141	0.5492667286
142	0.5490190261
143	0.5480513591
144	0.5478595519
145	0.547476989
146	0.5470392993
147	0.5464034365
148	0.5453021996
149	0.5449621004
150	0.5443681456
151	0.5433763621
152	0.5429654688
153	0.5427513262
154	0.5415470299
155	0.5413316721
156	0.5408977581
157	0.5406444982
158	0.5398950335
159	0.5388069025
160	0.5382831358
161	0.536302437
162	0.5360952675
163	0.5360052565
164	0.53584748
165	0.5354949695
166	0.5349491556
167	0.5344628606
168	0.534070956
169	0.5329049335
170	0.532353281
171	0.5316804662
172	0.5307931317
173	0.5303923616
174	0.530270066
175	0.5299279771
176	0.5294822857
177	0.5292288375
178	0.528905504
179	0.5284886314
180	0.5275620243
181	0.527221909
182	0.5253627585
183	0.5246707654
184	0.5242500296
185	0.5241234542
186	0.5238211703
187	0.5235423684
188	0.5231818006
189	0.5228498372
190	0.5219860089
191	0.5214589743
192	0.5207898741
193	0.5195717013
194	0.5190964225
195	0.5185321585
196	0.5178243215
197	0.51758247
198	0.5171705404
199	0.5169255051
200	0.5163449597
201	0.5160344052
202	0.5157634447
203	0.5152091933
204	0.5150258812
205	0.5143316662
206	0.51399692
207	0.5137989806
208	0.5129719406
209	0.5124895347
210	0.511778847
211	0.5114124345
212	0.5111768101
213	0.510851598
214	0.510111981
215	0.5093079786
216	0.5090384878
217	0.5086664367
218	0.5083385757
219	0.5081791393
220	0.5078649395
221	0.5074197745
222	0.5072893802
223	0.5071772652
224	0.5070607255
225	0.5065490503
226	0.5064465695
227	0.5062455536
228	0.5054103479
229	0.5053118054
230	0.5050907332
231	0.5048393874
232	0.5044322942
233	0.5036987507
234	0.50348429
235	0.5029861
236	0.5026455766
237	0.5022487182
238	0.5011908153
239	0.5007903319
240	0.5001221648
241	0.499514069
242	0.4992553074
243	0.498603444
244	0.4980511189
245	0.4979104625
246	0.497614961
247	0.4974516964
248	0.4970301169
249	0.4964054041
