iter	Passed	Remaining
0	331	82467
1	647	80281
2	1030	84828
3	1390	85536
4	1734	84998
5	2123	86375
6	2485	86285
7	2849	86204
8	3304	88490
9	3651	87635
10	4020	87345
11	4367	86619
12	4704	85762
13	5051	85158
14	5337	83620
15	5681	83090
16	6103	83652
17	6545	84362
18	6920	84142
19	7292	83868
20	7707	84048
21	8068	83613
22	8329	82209
23	8668	81629
24	8971	80740
25	9370	80734
26	9704	80148
27	10079	79918
28	10395	79221
29	10685	78362
30	10967	77482
31	11324	77150
32	11654	76635
33	11973	76065
34	12316	75658
35	12689	75430
36	13011	74902
37	13327	74355
38	13625	73718
39	14031	73665
40	14318	72988
41	14651	72559
42	14907	71764
43	15271	71497
44	15613	71128
45	15930	70648
46	16317	70478
47	16609	69900
48	16933	69461
49	17271	69085
50	17609	68712
51	17980	68462
52	18300	68021
53	18654	67710
54	19016	67423
55	19282	66798
56	19607	66391
57	19974	66122
58	20394	66021
59	20731	65650
60	21091	65349
61	21507	65217
62	21891	64979
63	22213	64556
64	22546	64172
65	22898	63838
66	23233	63457
67	23601	63167
68	23930	62775
69	24197	62221
70	24603	62027
71	24935	61644
72	25328	61413
73	25665	61041
74	26009	60689
75	26360	60352
76	26726	60047
77	27149	59867
78	27471	59462
79	27839	59159
80	28190	58816
81	28546	58485
82	28945	58240
83	29312	57927
84	29702	57658
85	30092	57385
86	30458	57066
87	30729	56569
88	31213	56464
89	31656	56278
90	32074	56042
91	32444	55719
92	32904	55549
93	33312	55285
94	33659	54917
95	33943	54450
96	34341	54168
97	34744	53889
98	35118	53564
99	35591	53386
100	36010	53124
101	36456	52896
102	36880	52634
103	37194	52215
104	37580	51896
105	37963	51573
106	38407	51329
107	38816	51036
108	39145	50637
109	39578	50373
110	39975	50058
111	40378	49752
112	40735	49387
113	41103	49036
114	41503	48721
115	41857	48352
116	42215	47989
117	42544	47592
118	42871	47194
119	43350	46963
120	43747	46639
121	44128	46298
122	44515	45963
123	44874	45597
124	45158	45158
125	45604	44880
126	46029	44579
127	46504	44324
128	46944	44033
129	47449	43799
130	47909	43520
131	48411	43276
132	48899	43016
133	49341	42713
134	49751	42380
135	50185	42067
136	50692	41812
137	51221	41571
138	51582	41191
139	52069	40911
140	52578	40645
141	53034	40336
142	53468	40008
143	53953	39715
144	54364	39367
145	54785	39025
146	55208	38683
147	55573	38300
148	55968	37938
149	56484	37656
150	56866	37283
151	57329	36962
152	57689	36574
153	58167	36260
154	58613	35924
155	59086	35603
156	59557	35279
157	59932	34897
158	60321	34523
159	60686	34136
160	61048	33747
161	61346	33324
162	61798	32984
163	62203	32618
164	62612	32254
165	62985	31872
166	63363	31492
167	63802	31141
168	64169	30755
169	64484	30345
170	64882	29974
171	65314	29619
172	65764	29270
173	66200	28915
174	66629	28555
175	66983	28163
176	67401	27798
177	67800	27424
178	68267	27078
179	68741	26732
180	69130	26353
181	69590	26000
182	69881	25585
183	70333	25228
184	70766	24863
185	71162	24486
186	71566	24110
187	71994	23742
188	72475	23391
189	73143	23098
190	73574	22727
191	74117	22389
192	74497	22001
193	74957	21637
194	75400	21266
195	75799	20883
196	76159	20489
197	76668	20135
198	77063	19749
199	77497	19374
200	77945	19001
201	78375	18623
202	78754	18233
203	79207	17860
204	79529	17457
205	80018	17091
206	80339	16688
207	80800	16315
208	81232	15935
209	81710	15563
210	82176	15189
211	82553	14797
212	82917	14403
213	83362	14023
214	83661	13619
215	84056	13231
216	84497	12849
217	84937	12467
218	85425	12092
219	85874	11710
220	86264	11319
221	86691	10934
222	87089	10544
223	87555	10162
224	88028	9780
225	88398	9387
226	88803	8997
227	89191	8606
228	89664	8222
229	90121	7836
230	90518	7445
231	90954	7056
232	91407	6669
233	91908	6284
234	92354	5894
235	92838	5507
236	93277	5116
237	93653	4722
238	94136	4332
239	94554	3939
240	94971	3546
241	95458	3155
242	95857	2761
243	96301	2368
244	96737	1974
245	97131	1579
246	97607	1185
247	98041	790
248	98474	395
249	98894	0
